Data Zone,Local Authority Code,Local Authority Name,"Education, Skills and Training domain 2012 rank1","People aged 16-19 not in full time education, employment or training rate 
(School Leavers 2009/10-2010-11, DWP 2010 and 2011)","Proportion of 17- 21 year olds entering higher education 
(HESA 2008/09-2010/11)3","Pupil Performance on SQA at Stage 4 (SQA, 2008/09-2010/11)5","School Pupil Absences 
(Scottish Government, 2009/10-2010/11)4,5"
S01003091,260,Glasgow City,1665,29,6.52,137,10.1
S01003092,260,Glasgow City,1692,14,6.18,139,8.4
S01003093,260,Glasgow City,1324,9,*,141,8.8
S01003094,260,Glasgow City,4379,7,13.94,194,5.2
S01003095,260,Glasgow City,6330,0,29.2,209,5.1
S01003096,260,Glasgow City,3778,8,12.1,145,6.3
S01003097,260,Glasgow City,139,5,*,178,11.5
S01003098,260,Glasgow City,444,19,*,229,10.8
S01003099,260,Glasgow City,681,7,*,120,7.9
S01003100,260,Glasgow City,2008,8,*,153,8
S01003101,260,Glasgow City,588,10,*,197,8.2
S01003102,260,Glasgow City,3810,5,8.86,197,6.9
S01003103,260,Glasgow City,5470,5,16.35,112,4.6
S01003104,260,Glasgow City,1609,25,5.05,230,6.6
S01003105,260,Glasgow City,3195,9,8.33,192,6.9
S01003106,260,Glasgow City,6119,2,12.9,194,3.4
S01003107,260,Glasgow City,172,20,*,188,10.4
S01003108,260,Glasgow City,2053,13,*,152,8.4
S01003109,260,Glasgow City,5486,12,16.81,140,4.4
S01003110,260,Glasgow City,6249,2,12.84,136,2.5
S01003111,260,Glasgow City,196,18,*,166,9.8
S01003112,260,Glasgow City,5668,3,15.54,210,4.7
S01003113,260,Glasgow City,3888,5,5.22,110,5.1
S01003114,260,Glasgow City,3454,10,5.88,165,5.3
S01003115,260,Glasgow City,3795,14.0625,5.88,214,5.3
S01003116,260,Glasgow City,2218,21,5.8,188,7.5
S01003117,260,Glasgow City,2801,17,20,164,8.1
S01003118,260,Glasgow City,627,10.9375,*,190,8.6
S01003119,260,Glasgow City,2105,13,*,188,7.6
S01003120,260,Glasgow City,5032,4,14.51,197,5
S01003121,260,Glasgow City,170,16,*,207,12.1
S01003122,260,Glasgow City,2203,9,5.06,190,6.6
S01003123,260,Glasgow City,4175,5,7.29,97,6.6
S01003124,260,Glasgow City,4039,21,10.81,212,6.3
S01003125,260,Glasgow City,4245,6,6.15,132,4.7
S01003126,260,Glasgow City,718,4,*,171,9.5
S01003127,260,Glasgow City,3077,16,8.84,156,6
S01003128,260,Glasgow City,1479,50,*,208,10
S01003129,260,Glasgow City,3746,5,6.12,129,7
S01003130,260,Glasgow City,5013,2,15.38,198,5.6
S01003131,260,Glasgow City,4150,7,5.26,111,5.8
S01003132,260,Glasgow City,569,21,*,243,7.8
S01003133,260,Glasgow City,5906,17,18.46,132,3.8
S01003134,260,Glasgow City,933,16,*,213,8.2
S01003135,260,Glasgow City,2070,5,*,153,7
S01003136,260,Glasgow City,3057,6.25,11.91,152,7.7
S01003137,260,Glasgow City,3153,10,*,92,6.3
S01003138,260,Glasgow City,1430,13,*,159,8.5
S01003139,260,Glasgow City,4969,4,9.76,173,5.5
S01003140,260,Glasgow City,211,20,*,128,11.6
S01003141,260,Glasgow City,6386,0,19.51,112,3.6
S01003142,260,Glasgow City,980,10,*,180,8.1
S01003143,260,Glasgow City,4484,2,6.99,144,5
S01003144,260,Glasgow City,1311,12,*,224,8.9
S01003145,260,Glasgow City,1998,13,5.77,151,6
S01003146,260,Glasgow City,2831,6.25,12.9,207,8.4
S01003147,260,Glasgow City,1987,8,*,184,7.3
S01003148,260,Glasgow City,1719,7,*,125,7.6
S01003149,260,Glasgow City,3662,0,10.26,111,6.4
S01003150,260,Glasgow City,366,15,*,117,8.7
S01003151,260,Glasgow City,3600,3,7.19,141,4.8
S01003152,260,Glasgow City,2365,7,12.93,142,8.1
S01003153,260,Glasgow City,5865,2,16,176,4.8
S01003154,260,Glasgow City,2689,8,9.52,243,8.6
S01003155,260,Glasgow City,5336,5,13.22,185,4.8
S01003156,260,Glasgow City,4261,11,13.91,149,5.8
S01003157,260,Glasgow City,1501,10,*,241,9.2
S01003158,260,Glasgow City,124,21,*,106,11.6
S01003159,260,Glasgow City,202,10,*,213,14.3
S01003160,260,Glasgow City,675,16,*,193,9.3
S01003161,260,Glasgow City,1151,12,*,210,8.7
S01003162,260,Glasgow City,1436,17,7.14,218,6.5
S01003163,260,Glasgow City,6066,2,19.78,70,4.4
S01003164,260,Glasgow City,3413,11,10.96,152,6.3
S01003165,260,Glasgow City,1581,10,*,127,9.2
S01003166,260,Glasgow City,3338,40,*,156,8
S01003167,260,Glasgow City,282,14.375,*,156,11
S01003168,260,Glasgow City,3514,3,*,209,8.7
S01003169,260,Glasgow City,3608,10,12.63,140,6.6
S01003170,260,Glasgow City,4515,4,16.86,135,5.9
S01003171,260,Glasgow City,5203,1,20.67,190,5.8
S01003172,260,Glasgow City,454,4,7.69,134,15.3
S01003173,260,Glasgow City,3008,6.25,10.91,122,8.6
S01003174,260,Glasgow City,1165,12,5.97,94,11
S01003175,260,Glasgow City,1223,16,*,113,9.6
S01003176,260,Glasgow City,3188,25,6.49,121,5.2
S01003177,260,Glasgow City,5619,6,24.21,109,4.8
S01003178,260,Glasgow City,634,10,*,181,7.9
S01003179,260,Glasgow City,912,4,8.55,100,12
S01003180,260,Glasgow City,3350,3,7,139,5.4
S01003181,260,Glasgow City,547,21,*,161,8.6
S01003182,260,Glasgow City,204,14,*,149,9.1
S01003183,260,Glasgow City,258,6,*,137,16.3
S01003184,260,Glasgow City,89,12,*,181,11.7
S01003185,260,Glasgow City,256,19,*,125,14.6
S01003186,260,Glasgow City,3378,4,13.22,213,6.8
S01003187,260,Glasgow City,3951,5,10.07,148,7
S01003188,260,Glasgow City,414,9,*,170,11.9
S01003189,260,Glasgow City,1049,10.9375,*,130,11.2
S01003190,260,Glasgow City,685,19,7.75,170,13
S01003191,260,Glasgow City,2163,12.5,6.31,170,7.3
S01003192,260,Glasgow City,683,21,*,116,13.2
S01003193,260,Glasgow City,3959,3,15.28,137,5.9
S01003194,260,Glasgow City,153,20.3125,*,157,11.7
S01003195,260,Glasgow City,5205,0,12.5,140,4.9
S01003196,260,Glasgow City,4391,3,23.3,120,7.6
S01003197,260,Glasgow City,3730,11,8.18,170,5.6
S01003198,260,Glasgow City,601,17,*,139,9.7
S01003199,260,Glasgow City,2577,17,7.08,122,5.3
S01003200,260,Glasgow City,2144,25,11.54,192,7.8
S01003201,260,Glasgow City,102,10,*,206,9.9
S01003202,260,Glasgow City,483,12.5,*,159,12
S01003203,260,Glasgow City,1574,15,*,200,7.4
S01003204,260,Glasgow City,587,8,*,162,10.4
S01003205,260,Glasgow City,438,24,*,156,8.9
S01003206,260,Glasgow City,1352,20,*,136,8.4
S01003207,260,Glasgow City,1572,6,12.75,152,10.3
S01003208,260,Glasgow City,120,18,*,170,10.4
S01003209,260,Glasgow City,3679,2,8.54,162,6.7
S01003210,260,Glasgow City,5535,2,24.07,173,6.3
S01003211,260,Glasgow City,2022,10,13.23,172,8.7
S01003212,260,Glasgow City,4186,1,7.18,149,5.5
S01003213,260,Glasgow City,1836,15,5.41,182,7.9
S01003214,260,Glasgow City,1116,15,*,127,7.9
S01003215,260,Glasgow City,637,16,*,216,10.4
S01003216,260,Glasgow City,2182,9,5.44,119,7.3
S01003217,260,Glasgow City,255,10,*,140,11.5
S01003218,260,Glasgow City,1949,13,*,153,7.9
S01003219,260,Glasgow City,2309,14,5.56,159,8.1
S01003220,260,Glasgow City,2552,9,15.86,153,8.2
S01003221,260,Glasgow City,1060,23,*,140,10.1
S01003222,260,Glasgow City,2281,11,8,142,8
S01003223,260,Glasgow City,174,21.25,*,113,11.8
S01003224,260,Glasgow City,4603,6,6.45,217,4.9
S01003225,260,Glasgow City,477,14,*,209,10.6
S01003226,260,Glasgow City,248,25,*,203,9.2
S01003227,260,Glasgow City,2133,10,12.68,156,8.5
S01003228,260,Glasgow City,1261,13,*,155,7.8
S01003229,260,Glasgow City,5403,1,26.14,177,6.6
S01003230,260,Glasgow City,2059,11,5.38,147,7.1
S01003231,260,Glasgow City,982,12,*,186,7.6
S01003232,260,Glasgow City,553,45,*,216,8.7
S01003233,260,Glasgow City,5424,4,16.5,181,4.6
S01003234,260,Glasgow City,5127,4,15.63,202,6.5
S01003235,260,Glasgow City,3785,4,9.15,148,5.3
S01003236,260,Glasgow City,1947,9,13.87,99,8.6
S01003237,260,Glasgow City,831,10,*,138,8.8
S01003238,260,Glasgow City,3167,10,7.43,151,6.1
S01003239,260,Glasgow City,1712,10,*,128,8.6
S01003240,260,Glasgow City,3201,5,8.09,144,7.1
S01003241,260,Glasgow City,5237,1,14.55,132,4.7
S01003242,260,Glasgow City,3121,11,9.83,101,7.9
S01003243,260,Glasgow City,3705,10,7.65,194,5.4
S01003244,260,Glasgow City,1135,19,*,84,7.2
S01003245,260,Glasgow City,289,18,*,125,10.3
S01003246,260,Glasgow City,899,15,*,135,10.4
S01003247,260,Glasgow City,697,7,*,119,8.6
S01003248,260,Glasgow City,736,21,*,144,9.3
S01003249,260,Glasgow City,870,15,*,213,11.5
S01003250,260,Glasgow City,2286,0,*,203,7.3
S01003251,260,Glasgow City,158,18,*,221,11.3
S01003252,260,Glasgow City,4865,0,5.17,227,4.1
S01003253,260,Glasgow City,92,21,*,126,8.9
S01003254,260,Glasgow City,128,23,*,109,8.6
S01003255,260,Glasgow City,1635,11,*,178,9
S01003256,260,Glasgow City,878,16,9.01,205,9.9
S01003257,260,Glasgow City,2915,7,13.07,158,6
S01003258,260,Glasgow City,4721,1,7.6,144,4.9
S01003259,260,Glasgow City,4525,2,11.2,156,5
S01003260,260,Glasgow City,5559,2.5,12.21,159,4
S01003261,260,Glasgow City,5135,3,12.96,109,5.5
S01003262,260,Glasgow City,956,17,5.93,177,10
S01003263,260,Glasgow City,227,10,*,95,10.4
S01003264,260,Glasgow City,2937,11,5.38,97,6.5
S01003265,260,Glasgow City,3781,5,6.36,112,6.2
S01003266,260,Glasgow City,1938,6,*,151,6.6
S01003267,260,Glasgow City,2068,10,7.35,199,7.1
S01003268,260,Glasgow City,1834,11,*,197,9.8
S01003269,260,Glasgow City,1093,13,5.95,185,10.3
S01003270,260,Glasgow City,328,21,*,113,9.8
S01003271,260,Glasgow City,1562,25,5.7,191,8.6
S01003272,260,Glasgow City,244,11,*,170,10.3
S01003273,260,Glasgow City,272,39,11.63,181,9.7
S01003274,260,Glasgow City,94,18.75,*,193,13.9
S01003275,260,Glasgow City,1618,13,5.67,163,7.5
S01003276,260,Glasgow City,4596,5,11.68,91,5.2
S01003277,260,Glasgow City,2381,10,6.11,182,8.1
S01003278,260,Glasgow City,3518,14,6.9,142,5.5
S01003279,260,Glasgow City,14,64,*,218,9.7
S01003280,260,Glasgow City,4398,5,18.12,153,6.7
S01003281,260,Glasgow City,1206,18,*,165,7.8
S01003282,260,Glasgow City,3607,4,5.88,108,7
S01003283,260,Glasgow City,4053,4,7.14,187,5.2
S01003284,260,Glasgow City,2683,4,*,125,5.4
S01003285,260,Glasgow City,163,7,*,140,11.4
S01003286,260,Glasgow City,2353,12.5,7.14,203,8.2
S01003287,260,Glasgow City,1217,9,6.52,109,8.5
S01003288,260,Glasgow City,5169,4.6875,14.17,102,4.4
S01003289,260,Glasgow City,522,43,*,177,9
S01003290,260,Glasgow City,1590,24,*,112,7.5
S01003291,260,Glasgow City,356,15,*,173,10.5
S01003292,260,Glasgow City,4035,9,10.49,140,5.1
S01003293,260,Glasgow City,375,12,*,75,9.6
S01003294,260,Glasgow City,1543,13,*,105,8.3
S01003295,260,Glasgow City,4476,3,8.29,168,4.5
S01003296,260,Glasgow City,46,47.5,*,169,11
S01003297,260,Glasgow City,154,22.5,*,163,10.4
S01003298,260,Glasgow City,3242,12,7.35,135,5.7
S01003299,260,Glasgow City,107,12,*,139,11.2
S01003300,260,Glasgow City,2887,10,8.94,134,6.2
S01003301,260,Glasgow City,342,28,*,132,8.6
S01003302,260,Glasgow City,111,22.5,*,193,11.1
S01003303,260,Glasgow City,2392,3,17.62,163,9.2
S01003304,260,Glasgow City,2379,13,10.53,149,8.8
S01003305,260,Glasgow City,1940,11,*,139,7.8
S01003306,260,Glasgow City,2076,8,5.26,175,7.9
S01003307,260,Glasgow City,910,7,*,98,9.6
S01003308,260,Glasgow City,997,9,*,135,9.4
S01003309,260,Glasgow City,303,15,*,196,10.8
S01003310,260,Glasgow City,1380,13,*,150,8.2
S01003311,260,Glasgow City,4335,1,5.58,178,4.8
S01003312,260,Glasgow City,1214,12,*,137,8.4
S01003313,260,Glasgow City,926,9,5.45,202,10
S01003314,260,Glasgow City,156,50,*,99,10.3
S01003315,260,Glasgow City,2449,12.5,*,155,7.1
S01003316,260,Glasgow City,679,10,*,156,9.7
S01003317,260,Glasgow City,1426,11,*,158,8
S01003318,260,Glasgow City,3752,3,6.82,206,5.8
S01003319,260,Glasgow City,891,0,*,194,7
S01003320,260,Glasgow City,1746,11,12.35,202,11.1
S01003321,260,Glasgow City,3947,5,11.3,184,4.7
S01003322,260,Glasgow City,1391,9,*,123,8.3
S01003323,260,Glasgow City,4471,4,8.98,141,4.9
S01003324,260,Glasgow City,513,7,*,161,10.3
S01003325,260,Glasgow City,2619,5,6.67,98,7.2
S01003326,260,Glasgow City,1421,12,*,126,9.7
S01003327,260,Glasgow City,1468,12.5,9.59,137,9.6
S01003328,260,Glasgow City,3808,9,16.06,180,7.9
S01003329,260,Glasgow City,2671,12.5,8.11,150,6.8
S01003330,260,Glasgow City,4881,3,14.41,167,4.5
S01003331,260,Glasgow City,1580,6,6.45,187,9.2
S01003332,260,Glasgow City,419,8,*,138,10
S01003333,260,Glasgow City,852,10,7.69,113,10
S01003334,260,Glasgow City,1129,10,*,135,7.7
S01003335,260,Glasgow City,2327,0,18.57,160,10.1
S01003336,260,Glasgow City,754,16,5.39,135,8.4
S01003337,260,Glasgow City,224,25,*,119,9.4
S01003338,260,Glasgow City,2402,7,5.38,150,7.2
S01003339,260,Glasgow City,1473,10,*,149,8.1
S01003340,260,Glasgow City,1502,14.0625,*,129,7.2
S01003341,260,Glasgow City,3896,4,10.43,89,5.3
S01003342,260,Glasgow City,307,11,*,148,10.3
S01003343,260,Glasgow City,84,24,*,144,9.8
S01003344,260,Glasgow City,668,6,*,191,8.3
S01003345,260,Glasgow City,1784,22,5.38,141,8.5
S01003346,260,Glasgow City,772,13,*,135,9.5
S01003347,260,Glasgow City,88,23,*,119,9.6
S01003348,260,Glasgow City,2340,15,8.2,186,8.3
S01003349,260,Glasgow City,702,18,*,145,8.3
S01003350,260,Glasgow City,476,8,*,142,8.7
S01003351,260,Glasgow City,482,15,*,118,8.8
S01003352,260,Glasgow City,849,8,*,143,8.7
S01003353,260,Glasgow City,402,21,5.88,140,11.4
S01003354,260,Glasgow City,1446,5,7.34,129,9.6
S01003355,260,Glasgow City,1166,16,6.04,129,8.5
S01003356,260,Glasgow City,302,31,*,111,9.7
S01003357,260,Glasgow City,151,9,*,247,10
S01003358,260,Glasgow City,4051,3,28.08,129,7.7
S01003359,260,Glasgow City,4031,4,9.06,163,4.8
S01003360,260,Glasgow City,1171,9,*,134,7.5
S01003361,260,Glasgow City,1140,13,*,141,7.4
S01003362,260,Glasgow City,249,19,*,120,12.1
S01003363,260,Glasgow City,1146,7,*,116,8.6
S01003364,260,Glasgow City,489,16,*,167,10.1
S01003365,260,Glasgow City,381,16,*,99,10.4
S01003366,260,Glasgow City,3239,9,31.2,140,11
S01003367,260,Glasgow City,281,23,*,111,10.8
S01003368,260,Glasgow City,5816,1,41.6,102,6.7
S01003369,260,Glasgow City,1038,18,7.78,163,8.6
S01003370,260,Glasgow City,1557,29,*,172,8
S01003371,260,Glasgow City,2330,9,8.21,144,6.8
S01003372,260,Glasgow City,212,37,*,154,10.4
S01003373,260,Glasgow City,1187,13,18.47,139,12.9
S01003374,260,Glasgow City,53,27,*,198,12.3
S01003375,260,Glasgow City,2123,11,6.47,174,7.4
S01003376,260,Glasgow City,81,13,*,143,12.2
S01003377,260,Glasgow City,1702,2,*,115,6.4
S01003378,260,Glasgow City,122,18,*,140,10.3
S01003379,260,Glasgow City,8,19,*,131,12.2
S01003380,260,Glasgow City,2141,17.1875,9.21,137,8.4
S01003381,260,Glasgow City,2251,12.5,7.86,176,6.6
S01003382,260,Glasgow City,1330,7,6.36,157,10.1
S01003383,260,Glasgow City,1860,9,5.8,149,7.5
S01003384,260,Glasgow City,1224,14,*,129,8.1
S01003385,260,Glasgow City,3542,12,8.55,124,6
S01003386,260,Glasgow City,1142,22.5,*,114,9.4
S01003387,260,Glasgow City,667,24,*,126,8.9
S01003388,260,Glasgow City,146,19.53125,*,133,12.2
S01003389,260,Glasgow City,280,39,*,171,11.9
S01003390,260,Glasgow City,159,14,*,119,10
S01003391,260,Glasgow City,345,33,*,113,10.8
S01003392,260,Glasgow City,1995,31,*,151,7.6
S01003393,260,Glasgow City,1561,8,*,96,8.3
S01003394,260,Glasgow City,441,10,*,143,9.7
S01003395,260,Glasgow City,1519,17,*,154,7.8
S01003396,260,Glasgow City,554,18,*,216,10.4
S01003397,260,Glasgow City,11,19,*,152,11.3
S01003398,260,Glasgow City,183,11,*,137,11.9
S01003399,260,Glasgow City,2237,1,13.68,177,10.2
S01003400,260,Glasgow City,1875,9,*,129,6.5
S01003401,260,Glasgow City,59,22,*,146,11.9
S01003402,260,Glasgow City,58,23,*,163,11.1
S01003403,260,Glasgow City,1389,6,*,124,9
S01003404,260,Glasgow City,100,20,*,132,11.3
S01003405,260,Glasgow City,924,17,*,106,6.1
S01003406,260,Glasgow City,1059,28,5.04,139,9
S01003407,260,Glasgow City,2728,16,5.79,116,7.2
S01003408,260,Glasgow City,1817,13,9.17,121,8.3
S01003409,260,Glasgow City,2193,21,8.07,126,7
S01003410,260,Glasgow City,4217,4,48.14,128,8
S01003411,260,Glasgow City,657,18,*,145,8.6
S01003412,260,Glasgow City,887,10,*,111,8.8
S01003413,260,Glasgow City,1309,12,*,112,7
S01003414,260,Glasgow City,219,21,*,174,9.1
S01003415,260,Glasgow City,1139,1,*,176,8.9
S01003416,260,Glasgow City,955,3,5.14,172,10.5
S01003417,260,Glasgow City,1458,15,5.8,118,10.2
S01003418,260,Glasgow City,230,16,*,130,12
S01003419,260,Glasgow City,121,19,*,115,12
S01003420,260,Glasgow City,12,10,*,130,15.2
S01003421,260,Glasgow City,644,14,*,111,9.7
S01003422,260,Glasgow City,842,14,*,172,8.6
S01003423,260,Glasgow City,1571,10,5.34,155,11.1
S01003424,260,Glasgow City,239,45,*,114,10.1
S01003425,260,Glasgow City,2960,4,*,141,7.4
S01003426,260,Glasgow City,2834,12,8.59,127,6.9
S01003427,260,Glasgow City,2018,11,*,200,6.9
S01003428,260,Glasgow City,338,31,5.26,241,8.8
S01003429,260,Glasgow City,3091,1,12.48,186,7
S01003430,260,Glasgow City,2185,0,7.22,106,9.7
S01003431,260,Glasgow City,452,17,*,143,7.2
S01003432,260,Glasgow City,1523,4,*,135,10.7
S01003433,260,Glasgow City,4815,9,52,111,7.6
S01003434,260,Glasgow City,292,25,*,152,9.6
S01003435,260,Glasgow City,72,22,*,172,11.1
S01003436,260,Glasgow City,2468,10,5.41,107,6.3
S01003437,260,Glasgow City,3123,3.125,*,175,7
S01003438,260,Glasgow City,4637,1,18.72,167,8.6
S01003439,260,Glasgow City,3431,2.5,8.13,140,8.1
S01003440,260,Glasgow City,1469,7,*,159,9.8
S01003441,260,Glasgow City,190,36,*,163,10.6
S01003442,260,Glasgow City,515,12.5,*,156,8.7
S01003443,260,Glasgow City,210,19,*,90,10
S01003444,260,Glasgow City,16,16,*,111,13.8
S01003445,260,Glasgow City,949,8,*,80,8.7
S01003446,260,Glasgow City,3196,6.25,7.78,102,5.3
S01003447,260,Glasgow City,948,1,6.04,129,8.3
S01003448,260,Glasgow City,2003,11,5.88,152,7.9
S01003449,260,Glasgow City,3924,3.125,11.23,157,5.6
S01003450,260,Glasgow City,2099,18,10.89,173,9
S01003451,260,Glasgow City,2432,9,*,117,6.9
S01003452,260,Glasgow City,833,6,*,136,8.8
S01003453,260,Glasgow City,2905,6,9.03,191,8.4
S01003454,260,Glasgow City,744,8,5.52,220,10.8
S01003455,260,Glasgow City,48,34,*,174,12.3
S01003456,260,Glasgow City,10,7,*,129,13.1
S01003457,260,Glasgow City,34,14,*,142,12.1
S01003458,260,Glasgow City,680,18.75,*,136,7.5
S01003459,260,Glasgow City,437,22,*,142,9
S01003460,260,Glasgow City,3185,8,5.31,122,6.4
S01003461,260,Glasgow City,2437,7,*,185,6.5
S01003462,260,Glasgow City,184,12,*,144,11
S01003463,260,Glasgow City,640,9,*,202,9.5
S01003464,260,Glasgow City,3011,7,*,155,9.2
S01003465,260,Glasgow City,3860,16,7.36,183,7.2
S01003466,260,Glasgow City,2238,7.8125,*,167,9
S01003467,260,Glasgow City,767,9,*,122,9.1
S01003468,260,Glasgow City,1863,10,*,234,8.7
S01003469,260,Glasgow City,1370,7,*,153,10.8
S01003470,260,Glasgow City,1465,11,*,148,10.2
S01003471,260,Glasgow City,65,14,*,84,12.9
S01003472,260,Glasgow City,1703,10,5.44,161,7.3
S01003473,260,Glasgow City,1736,10,*,193,7.8
S01003474,260,Glasgow City,4111,4,8.5,180,5.7
S01003475,260,Glasgow City,1541,23,7.28,113,8.1
S01003476,260,Glasgow City,2239,10,6.56,164,6.6
S01003477,260,Glasgow City,4012,8,10.43,143,5.9
S01003478,260,Glasgow City,2005,4,*,144,10.2
S01003479,260,Glasgow City,4068,2,*,168,6.6
S01003480,260,Glasgow City,1407,13,*,145,8.5
S01003481,260,Glasgow City,2711,9,6.21,133,8
S01003482,260,Glasgow City,137,20,*,114,9.6
S01003483,260,Glasgow City,1162,21,*,88,7.4
S01003484,260,Glasgow City,4205,4,12.73,152,10.1
S01003485,260,Glasgow City,3417,9,*,158,7
S01003486,260,Glasgow City,106,10,*,233,12.6
S01003487,260,Glasgow City,2868,3,15.6,189,10
S01003488,260,Glasgow City,274,7,*,177,10.9
S01003489,260,Glasgow City,66,23,*,97,11
S01003490,260,Glasgow City,1688,17,7.69,144,8.9
S01003491,260,Glasgow City,854,0,*,154,7.1
S01003492,260,Glasgow City,1708,7,*,289,7.8
S01003493,260,Glasgow City,440,20,*,169,10.3
S01003494,260,Glasgow City,399,16,*,106,11
S01003495,260,Glasgow City,672,21,*,207,9.2
S01003496,260,Glasgow City,3259,2.5,6.42,225,8.1
S01003497,260,Glasgow City,4839,5,*,166,5.4
S01003498,260,Glasgow City,3494,10,12.4,211,7.4
S01003499,260,Glasgow City,3330,6,*,123,7.2
S01003500,260,Glasgow City,203,19,*,237,10.6
S01003501,260,Glasgow City,2602,4,5.21,125,10.1
S01003502,260,Glasgow City,1130,15,6.79,163,7.6
S01003503,260,Glasgow City,6206,4,8.39,170,5.3
S01003504,260,Glasgow City,4037,7,23.4,126,8.2
S01003505,260,Glasgow City,29,0,*,200,17.6
S01003506,260,Glasgow City,4715,7.5,10.58,164,6.9
S01003507,260,Glasgow City,3931,5,*,154,7.9
S01003508,260,Glasgow City,1978,16,8.4,163,10
S01003509,260,Glasgow City,6049,2,10.68,186,4.2
S01003510,260,Glasgow City,298,13,*,146,8.5
S01003511,260,Glasgow City,6430,2,24.07,174,4
S01003512,260,Glasgow City,580,13,*,178,9.8
S01003513,260,Glasgow City,4360,4,12.87,224,7.6
S01003514,260,Glasgow City,4237,4,6.39,208,7.8
S01003515,260,Glasgow City,136,18,*,183,10.4
S01003516,260,Glasgow City,4448,3,11.72,242,4.5
S01003517,260,Glasgow City,2623,10,*,183,8.8
S01003518,260,Glasgow City,1801,12,*,189,8.6
S01003519,260,Glasgow City,707,14,*,157,12.9
S01003520,260,Glasgow City,5743,4,10.33,137,4.6
S01003521,260,Glasgow City,3226,2,*,235,6.3
S01003522,260,Glasgow City,4796,4,*,139,6
S01003523,260,Glasgow City,1299,23,9.52,125,8.5
S01003524,260,Glasgow City,6036,3,15.54,138,4.6
S01003525,260,Glasgow City,5633,7,7.09,235,4.2
S01003526,260,Glasgow City,5033,16,7.3,127,5.5
S01003527,260,Glasgow City,6380,5,21.09,148,3.3
S01003528,260,Glasgow City,1742,5,*,217,7.2
S01003529,260,Glasgow City,2531,9,5.06,116,6.8
S01003530,260,Glasgow City,4159,2.5,*,124,6.2
S01003531,260,Glasgow City,656,16,*,236,10.9
S01003532,260,Glasgow City,5899,6,23.13,118,4.2
S01003533,260,Glasgow City,130,6,*,249,14.5
S01003534,260,Glasgow City,983,15,*,230,8.4
S01003535,260,Glasgow City,1867,18,5.65,131,8.1
S01003536,260,Glasgow City,6370,2,9.04,155,3.5
S01003537,260,Glasgow City,1396,14,*,79,8.4
S01003538,260,Glasgow City,786,15,*,117,8.5
S01003539,260,Glasgow City,6396,8,20.24,196,3
S01003540,260,Glasgow City,55,17,*,117,11.5
S01003541,260,Glasgow City,654,28.125,11.17,199,9.9
S01003542,260,Glasgow City,6091,2,14.49,82,5.5
S01003543,260,Glasgow City,213,13,*,179,10.9
S01003544,260,Glasgow City,6111,0,7.59,247,4.8
S01003545,260,Glasgow City,6000,3,10.29,246,5.3
S01003546,260,Glasgow City,330,29,*,107,11.9
S01003547,260,Glasgow City,2931,11,7.28,250,8.3
S01003548,260,Glasgow City,501,5,*,214,7.2
S01003549,260,Glasgow City,112,18,*,224,11.4
S01003550,260,Glasgow City,3613,7,9.59,160,4.9
S01003551,260,Glasgow City,344,8,*,97,10.7
S01003552,260,Glasgow City,5997,0,15.18,139,6.2
S01003553,260,Glasgow City,119,26,*,94,7.7
S01003554,260,Glasgow City,5673,0,7.1,159,4.9
S01003555,260,Glasgow City,5991,6,10.29,231,5.8
S01003556,260,Glasgow City,6466,0,23.08,115,3.2
S01003557,260,Glasgow City,21,26,*,230,12.6
S01003558,260,Glasgow City,6473,0,18.18,247,3.9
S01003559,260,Glasgow City,6007,5,11.83,229,3.4
S01003560,260,Glasgow City,6148,3,16.98,120,3.7
S01003561,260,Glasgow City,1031,19,*,119,8.9
S01003562,260,Glasgow City,61,16,*,144,13.2
S01003563,260,Glasgow City,789,18,*,195,7.2
S01003564,260,Glasgow City,19,46.875,5.3,139,13.5
S01003565,260,Glasgow City,699,21,*,237,9.3
S01003566,260,Glasgow City,5409,2,*,153,4.6
S01003567,260,Glasgow City,49,26,5.26,95,12.1
S01003568,260,Glasgow City,6071,0,17.72,111,5.9
S01003569,260,Glasgow City,6110,7,18.57,130,4.4
S01003570,260,Glasgow City,5961,0,*,123,3.4
S01003571,260,Glasgow City,512,20,*,96,10.3
S01003572,260,Glasgow City,309,17.5,5.16,136,11.3
S01003573,260,Glasgow City,798,16,*,137,9
S01003574,260,Glasgow City,4961,5,9.38,76,6.5
S01003575,260,Glasgow City,856,14,*,169,9.1
S01003576,260,Glasgow City,6031,2,11.76,261,4.1
S01003577,260,Glasgow City,1717,15,6.25,218,6.6
S01003578,260,Glasgow City,142,12,5.08,197,10.8
S01003579,260,Glasgow City,33,28,*,88,10.6
S01003580,260,Glasgow City,1055,24,5.14,232,7.9
S01003581,260,Glasgow City,1780,1,7.58,151,8.9
S01003582,260,Glasgow City,25,36,*,171,11.3
S01003583,260,Glasgow City,235,19,*,237,7.7
S01003584,260,Glasgow City,710,18,*,124,9.6
S01003585,260,Glasgow City,188,21,*,157,11.3
S01003586,260,Glasgow City,1301,25,*,207,8.1
S01003587,260,Glasgow City,6460,1,22.61,135,3.6
S01003588,260,Glasgow City,4294,3,6.16,138,5.1
S01003589,260,Glasgow City,5922,0.625,7.97,132,3.9
S01003590,260,Glasgow City,101,26,*,121,12.2
S01003591,260,Glasgow City,6037,3,20.95,137,4.6
